Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,12.67534589767456,1,2,1,0,64,5
1,13.184602499008179,1,3,2,0,64,5
2,12.393293857574463,1,4,3,0,64,5
3,13.289386987686157,1,5,4,0,64,5
4,13.145422458648682,1,6,5,0,64,5
5,11.943117618560791,1,7,6,0,64,5
6,12.49890923500061,1,8,7,0,64,5
7,13.678261280059814,1,9,8,0,64,5
8,12.750643014907837,1,10,9,0,64,5
9,12.384218215942383,1,11,10,0,64,5
10,12.80122423171997,2,12,11,0,64,5
11,12.419161796569824,2,12,11,0,64,5
12,13.036568880081177,3,13,12,0,64,5
13,13.042769193649292,3,13,12,0,64,5
