Block Number,Block Hash,Validation,Chip ID,Problem ID,Strongest Block Hash,Chain Length
1,1b37d9517173ffa3ad838ce5d2abdff1a892bef5c6a0924099cfc7f689d14362,miner,Advantage_system4.1,9484e2bd-e210-4030-b2bd-8efd23858d59,0e8690c37c0c27729e9055a6dc5bd4d0d00df996fe5ae553a24a57e92bdc2a1f,1
2,aaffdadeb9ac5f608483927320d7781158419c82bf2e77fb4326ff1853eb5cb2,miner,Advantage_system4.1,95cb83ca-1189-4665-80ef-e1e673d26378,1b37d9517173ffa3ad838ce5d2abdff1a892bef5c6a0924099cfc7f689d14362,2
3,ed87afb4ab9bd1a93e8b1853ad754fb58aab6a1908c2d0a1b83c23c3025e13a6,pass,Advantage_system4.1,e851fcc9-51e9-46aa-9c87-422b2e7f9c77,aaffdadeb9ac5f608483927320d7781158419c82bf2e77fb4326ff1853eb5cb2,3
4,d125550e1cd932f559426e66aa91ed5795dbfc8450d85e5cd14dd83536baa940,pass,Advantage_system4.1,c12d5020-8471-4992-80b8-4f9e18702447,aaffdadeb9ac5f608483927320d7781158419c82bf2e77fb4326ff1853eb5cb2,3
5,6f942b279eca9b4ac29a7d362bcbb9a8e4b6cfa02b09d159ee42baa24fcf126a,miner,Advantage_system4.1,a370c8bf-f2b8-4807-ba20-3d38ebb61887,d125550e1cd932f559426e66aa91ed5795dbfc8450d85e5cd14dd83536baa940,4
6,0dc36a79fe061c418f1e12f2c7f97556b824a3afa35878eaef06ac05cede89ec,pass,Advantage_system4.1,df7d77f4-7d81-4963-91a6-afbd38141cc1,6f942b279eca9b4ac29a7d362bcbb9a8e4b6cfa02b09d159ee42baa24fcf126a,5
7,a6fe92064bc56a7d18c0538bc7a7737ae66f9a86ad1556432225352abae516c0,miner,Advantage_system4.1,cc270be1-7ca6-4adb-8f23-f0166f079cd6,6f942b279eca9b4ac29a7d362bcbb9a8e4b6cfa02b09d159ee42baa24fcf126a,5
8,10af0564da24e220b9c2e633bb8fb3f1eb94ad2a347127ea6bd2ec6184935f4c,pass,Advantage_system4.1,5450a952-0c0d-472b-a2d5-feba0c767678,a6fe92064bc56a7d18c0538bc7a7737ae66f9a86ad1556432225352abae516c0,6
9,8ee30f15f9dbe6691d122c4b700aaab59825ab98f78d8542617b414eef16e483,pass,Advantage_system4.1,0e79db7d-8bc9-40ff-8e33-90a74d6db087,a6fe92064bc56a7d18c0538bc7a7737ae66f9a86ad1556432225352abae516c0,6
10,a7c0e8bc32776528ba8d9048280149f093771808b21f5136ae62a7f0a8d8aebc,pass,Advantage_system4.1,f8d6b402-1ae3-4ad6-a72d-58ec6aad00fa,a6fe92064bc56a7d18c0538bc7a7737ae66f9a86ad1556432225352abae516c0,6
11,40456c3044f8919698625569230a3d8084426a527a4216a780c76602bb7cc0c0,pass,Advantage_system4.1,8e5b7ebb-8024-4758-9171-b9e1cc63c882,a7c0e8bc32776528ba8d9048280149f093771808b21f5136ae62a7f0a8d8aebc,9
12,97a009011c6d565d2f23de662e8a3f416ba4525484bde39ee391d21284331d18,pass,Advantage_system4.1,7d0b596e-e372-45d1-a05d-dca85e56c6d7,40456c3044f8919698625569230a3d8084426a527a4216a780c76602bb7cc0c0,10
13,0383d8d76823476878178ff2c21b45fecb65c1552261877787efafe7d37ac0dd,pass,Advantage_system4.1,e8e62b5a-82b5-4094-8ad5-a89e0bc8d033,97a009011c6d565d2f23de662e8a3f416ba4525484bde39ee391d21284331d18,11
14,09b8c7d75f807d2134746456cdb26ce1eca728f6b58100fb21072d933ff2a7ee,miner,Advantage_system4.1,c7776416-ae35-42bb-955f-7bfa56828eba,97a009011c6d565d2f23de662e8a3f416ba4525484bde39ee391d21284331d18,11
15,3e55f10f1f12c502cf2380bbc97d599ad2b0b08b045da89038640238c33f5c6f,pass,Advantage_system4.1,73a3c63b-0cd7-4685-a099-44fc3216b925,09b8c7d75f807d2134746456cdb26ce1eca728f6b58100fb21072d933ff2a7ee,12
16,8d0df4c881057e7cebb8933ed698c505b8bb38d0962c64753ab5ec35200d0ffd,pass,Advantage_system4.1,42ba03be-26f6-4661-8f0f-3be5e2a76dda,3e55f10f1f12c502cf2380bbc97d599ad2b0b08b045da89038640238c33f5c6f,13
17,4e2a2546389514e8f5148c8c0f7a3c9983948a6ca625d9458f0dad364675d311,pass,Advantage_system4.1,6f3d6bfb-0d8b-4861-98e2-ce415830e90d,3e55f10f1f12c502cf2380bbc97d599ad2b0b08b045da89038640238c33f5c6f,13
18,85139d395e22044f2a19cf90b6f61b5c30e7ff7e6c8ea3b4969d99972709e087,pass,Advantage_system4.1,7c68c288-fe28-48f9-84b6-de3e13ae582e,4e2a2546389514e8f5148c8c0f7a3c9983948a6ca625d9458f0dad364675d311,14
