Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,16.93811297416687,1,2,1,0,64,7
1,20.198101043701172,2,3,2,0,64,7
2,17.599433183670044,2,4,3,0,64,7
3,18.22042489051819,1,5,4,0,64,7
4,21.82687735557556,1,6,5,0,64,7
5,18.039124011993408,1,7,6,0,64,7
6,16.531546115875244,1,8,7,0,64,7
7,16.951831579208374,1,9,8,0,64,7
8,19.17786145210266,1,10,9,0,64,7
9,16.737948417663574,1,11,10,0,64,7
10,16.506508827209473,1,12,11,0,64,7
11,16.836101293563843,1,13,12,0,64,7
12,16.885521173477173,1,14,13,0,64,7
