Block Number,Block Hash,Validation,Chip ID,Problem ID,Strongest Block Hash,Chain Length
1,1dcd0932eb222a0f44d015d9063ec8485966134fab2d1f166a4b9264bb67b461,pass,Advantage_system4.1,d3f015cc-7c16-421d-9294-b1c57ac09318,9319c6ab20d769f0466ff37e818966bcb04a3de5e4e7096508fdfb20d7648b9d,1
2,4fd68784dd8e7bec13ccd4c0f7e67908ec53546aff24363182e51a789a6e3c32,pass,Advantage_system4.1,143ed40c-67eb-45b7-bba1-885f97e2a86a,1dcd0932eb222a0f44d015d9063ec8485966134fab2d1f166a4b9264bb67b461,2
3,3dc68a13470161b003d783fc120414e325cc5f8a03da1f68c5a0d344fb95ec17,miner,Advantage_system4.1,d1fd7ef7-ccb4-48ed-b54f-ec491cde40bb,4fd68784dd8e7bec13ccd4c0f7e67908ec53546aff24363182e51a789a6e3c32,3
4,dd1cb9366da9cf73ee75e745c15554d3345057e4d9db9c3da73a77b9690c6c8e,pass,Advantage_system4.1,50e0cb47-32ff-47e0-b566-9a3743218fac,3dc68a13470161b003d783fc120414e325cc5f8a03da1f68c5a0d344fb95ec17,4
5,45fc0158c190e96d4fff55e8596d9213e378f860ddea2633cce48d3572e312c5,miner,Advantage_system4.1,d750e190-11b2-4440-90c9-e4d679a4dd4c,3dc68a13470161b003d783fc120414e325cc5f8a03da1f68c5a0d344fb95ec17,4
6,541427c3a5ecc59eb52a6f281c9e83c4d6fe6369fcc9ce811a2ae838a0c71843,miner,Advantage_system4.1,b52fd313-c6ae-498c-8c49-15fa6cc64f2e,45fc0158c190e96d4fff55e8596d9213e378f860ddea2633cce48d3572e312c5,5
7,d682fb6a09d1d9113a20f05c2f048d1427730b77e11a9f0343b4601bddbb1bd1,miner,Advantage_system4.1,d02fc629-ce8a-41d6-b9d1-77cff6517dd2,541427c3a5ecc59eb52a6f281c9e83c4d6fe6369fcc9ce811a2ae838a0c71843,6
8,ddc06760224c8726c0ce4b3e4f551abd98b74099d133ecb832398d7ca8f29c09,pass,Advantage_system4.1,325cc799-f672-443c-b6ee-8d08baacfa03,d682fb6a09d1d9113a20f05c2f048d1427730b77e11a9f0343b4601bddbb1bd1,7
9,95e862318cdf18eafb6827a004fcdfd74585b60ca6a4c208ce783d7e6c67e7a2,miner,Advantage_system4.1,bc481a4e-3421-442d-9e84-1e3c7b6d896e,d682fb6a09d1d9113a20f05c2f048d1427730b77e11a9f0343b4601bddbb1bd1,7
10,73c7542fc13725d0580ffec5a9d2da38b79cdde1fb2cb1aeff74dc9ca478a757,pass,Advantage_system4.1,2c414d1c-9ddd-4137-b24f-206e67a1f2c6,95e862318cdf18eafb6827a004fcdfd74585b60ca6a4c208ce783d7e6c67e7a2,8
11,e26945b408af588849e97fa7b142232a1b96ff55fc4e9653ee7427e570f60d39,pass,Advantage_system4.1,6daf5a51-4005-42a8-9ad8-9b430ed01ef7,95e862318cdf18eafb6827a004fcdfd74585b60ca6a4c208ce783d7e6c67e7a2,8
