Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,7.273837089538574,1,2,1,0,64,3
1,6.954008102416992,1,3,2,0,64,3
2,7.0437705516815186,1,4,3,0,64,3
3,6.969040870666504,1,5,4,0,64,3
4,7.090060234069824,1,6,5,0,64,3
