Block Number,Block Hash,Validation,Chip ID,Problem ID,Strongest Block Hash,Chain Length
1,13f3c7eeeda7b237deb2aa6b971db0618061b9c9267d7243bdd557d5536ace57,miner,Advantage_system4.1,555d575d-b183-4e5f-86a0-e7b516dfebbd,d28e7a11637e09a43562f84590f088adf7440d7287163793d400f333bc716862,1
2,0357af805d1b2af514d466239f44fe34aa14de0ebf1a76866e08974fa1358dc4,pass,Advantage_system4.1,ee2503f8-f5b0-4f91-a567-ff8bab0cf0b6,13f3c7eeeda7b237deb2aa6b971db0618061b9c9267d7243bdd557d5536ace57,2
3,906af8764d6989bc3f7c80f99b0f0ee29b0edf37ca8b59dd7440098f5d4a45b8,pass,Advantage_system4.1,69005f9a-30ee-4b77-bc61-aaa5f4aedb3b,0357af805d1b2af514d466239f44fe34aa14de0ebf1a76866e08974fa1358dc4,3
4,cc2d82e692fabb4b16dbae842468582202d8f7963e02f85dc018041a98cea59e,pass,Advantage_system4.1,f8079f75-5385-4c26-92e0-9fa38e785b46,906af8764d6989bc3f7c80f99b0f0ee29b0edf37ca8b59dd7440098f5d4a45b8,4
5,11a08e668ae733795986d4497b84515546268da8eaa6279b1761747c50ac0c23,pass,Advantage_system4.1,0c7d49b1-1aac-48f7-9920-cb68bf20b015,906af8764d6989bc3f7c80f99b0f0ee29b0edf37ca8b59dd7440098f5d4a45b8,4
6,b783201d0e93c81a9537676754318c0806655f2293400a423a1a9e8fea8852c2,pass,Advantage_system4.1,a0f2b3a4-af42-48b3-9636-d90eeb54c09b,11a08e668ae733795986d4497b84515546268da8eaa6279b1761747c50ac0c23,5
7,efeecc2b2cd0121ee395f9093c9c3949c9c04983ff589d2ede7a17ff8d3a5011,miner,Advantage_system4.1,bdc8218d-d82d-49aa-8995-91cfcf004fad,b783201d0e93c81a9537676754318c0806655f2293400a423a1a9e8fea8852c2,6
8,e822edd3d5add3717d0ca237f067136029993ab579242989c2c32a4817912975,pass,Advantage_system4.1,9de458cc-6568-4c7b-9ff5-662b9bbef5c1,efeecc2b2cd0121ee395f9093c9c3949c9c04983ff589d2ede7a17ff8d3a5011,7
9,a5d5f4264110a660020864521ba150193d38a8614e5f2852271197f7ed93f5ee,pass,Advantage_system4.1,b6428eff-41dc-4764-8dbb-807d1181777c,e822edd3d5add3717d0ca237f067136029993ab579242989c2c32a4817912975,8
10,0f34375f14faa90bb4373d01f9f2bd295d2bfa2c71ff93b42e221335e04f6d17,miner,Advantage_system4.1,da787b65-410c-4c65-bd29-70266c7dd375,a5d5f4264110a660020864521ba150193d38a8614e5f2852271197f7ed93f5ee,9
11,c5745c4b4e8cd99dcaa400113b1fd5e803ceda19770d89a1715e968d906a7699,pass,Advantage_system4.1,0529c1cd-d99f-4357-b553-19229c3d69e6,0f34375f14faa90bb4373d01f9f2bd295d2bfa2c71ff93b42e221335e04f6d17,10
12,4d563a23dadc1a17d96581b0562dff3a6fabee3e157ab053bc8791b8ea0907e7,pass,Advantage_system4.1,3ca93426-83e8-4621-933e-77fa08ce7e8e,c5745c4b4e8cd99dcaa400113b1fd5e803ceda19770d89a1715e968d906a7699,11
