Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,7.802563667297363,1,2,1,0,0,3
1,7.428340196609497,1,3,2,0,0,3
2,7.475543260574341,1,4,3,0,0,3
3,7.6347761154174805,1,5,4,0,0,3
4,8.433287382125854,1,6,5,0,0,3
