Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,12.87945032119751,1,2,1,0,64,5
1,13.111883163452148,1,3,2,0,64,5
2,12.13525652885437,2,4,3,0,64,5
3,12.401463747024536,2,5,4,0,64,5
4,12.40617299079895,2,5,3,0,64,5
5,12.409914493560791,2,6,5,0,64,5
6,11.442073106765747,2,7,6,0,64,5
7,13.519877910614014,2,8,7,0,64,5
8,12.022671461105347,2,8,4,0,64,5
