Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,12.857471466064453,2,2,1,0,64,5
1,12.40813684463501,2,3,2,0,64,5
2,11.988955736160278,1,4,3,0,64,5
3,12.020075559616089,1,5,4,0,64,5
4,12.139096021652222,1,6,5,0,64,5
5,11.777596950531006,1,7,6,0,64,5
6,11.542513132095337,1,8,7,0,64,5
7,13.326510429382324,1,9,8,0,64,5
8,11.942280530929565,1,10,9,0,64,5
9,11.980504035949707,1,11,10,0,64,5
10,12.010766744613647,1,12,11,0,64,5
11,12.272460222244263,1,13,12,0,64,5
12,11.812480449676514,2,14,13,0,64,5
13,11.7491455078125,3,15,14,0,64,5
14,15.821467638015747,3,15,14,0,64,5
