Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,19.247397661209106,2,2,1,0,64,7
1,19.498725652694702,2,2,1,0,64,7
2,19.47936201095581,2,3,2,0,64,7
3,18.51555347442627,3,4,3,0,64,7
4,18.244038581848145,3,5,4,0,64,7
5,17.68376588821411,2,6,5,0,64,7
6,18.09416961669922,2,6,2,0,64,7
7,18.273399591445923,2,7,6,0,64,7
8,20.786638736724854,2,7,3,0,64,7
9,19.798792123794556,2,8,7,0,64,7
10,18.1648850440979,2,9,8,0,64,7
11,19.061620235443115,2,10,9,0,64,7
12,18.064018964767456,3,11,10,0,64,7
13,17.98605442047119,3,11,10,0,64,7
14,19.965554237365723,3,12,11,0,64,7
15,17.920002698898315,3,12,11,0,64,7
16,18.583982706069946,2,13,12,0,64,7
17,19.02258324623108,3,14,13,0,64,7
18,18.23349642753601,3,15,14,0,64,7
19,19.784204959869385,4,16,15,0,64,7
20,18.162280797958374,4,17,16,0,64,7
21,17.91875910758972,4,17,13,0,64,7
22,18.165932178497314,3,17,14,0,64,7
23,17.82749366760254,3,18,17,0,64,7
24,17.87250304222107,3,19,18,0,64,7
25,21.141247272491455,3,19,15,0,64,7
26,18.415220260620117,2,20,19,0,64,7
27,18.04303789138794,3,21,20,0,64,7
28,20.62832474708557,4,21,20,0,64,7
29,23.296806812286377,3,22,21,0,64,7
30,23.559273958206177,3,22,16,0,64,7
