Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,16.045695781707764,1,2,1,0,64,5
1,15.363149642944336,1,3,2,0,64,5
2,15.08961272239685,2,4,3,0,64,5
3,15.694322109222412,2,5,4,0,64,5
4,14.334641933441162,2,6,5,0,64,5
5,15.172470569610596,2,6,3,0,64,5
6,13.728345155715942,3,7,6,0,64,5
7,16.18631672859192,4,8,7,0,64,5
8,14.447764158248901,4,8,4,0,64,5
9,15.58884048461914,4,8,6,0,64,5
10,13.606518507003784,4,9,8,0,64,5
11,16.265716075897217,3,9,7,0,64,5
