Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,7.359086751937866,2,2,1,0,64,3
1,7.033944845199585,2,2,1,0,64,3
2,6.888829946517944,1,3,2,0,64,3
3,6.928654193878174,2,4,3,0,64,3
