Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,16.37123417854309,2,2,1,0,64,6
1,15.376455545425415,3,2,1,0,64,6
2,15.88080620765686,3,2,1,0,64,6
3,15.481369972229004,1,3,2,0,64,6
4,17.429235458374023,2,4,3,0,64,6
5,15.06166386604309,2,4,3,0,64,6
6,15.52828073501587,1,5,4,0,64,6
7,20.44565749168396,1,6,5,0,64,6
8,15.572585821151733,1,7,6,0,64,6
9,15.335480213165283,1,8,7,0,64,6
10,17.025789976119995,1,9,8,0,64,6
11,18.444336652755737,1,10,9,0,64,6
12,15.617346048355103,2,11,10,0,64,6
