Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,14.489428043365479,1,2,1,0,64,5
1,13.769201517105103,1,3,2,0,64,5
2,12.648438453674316,2,4,3,0,64,5
3,13.393303632736206,2,4,3,0,64,5
4,11.885063171386719,1,5,4,0,64,5
5,11.875195980072021,2,6,5,0,64,5
6,11.702314376831055,2,6,5,0,64,5
7,15.702176332473755,2,7,6,0,64,5
8,14.083084106445312,2,8,7,0,64,5
9,13.259503841400146,2,9,8,0,64,5
10,15.135520219802856,3,10,9,0,64,5
11,12.660515308380127,3,11,10,0,64,5
12,13.074716567993164,3,12,11,0,64,5
13,12.584415435791016,3,12,11,0,64,5
14,13.743857860565186,2,13,12,0,64,5
15,12.625619649887085,2,13,6,0,64,5
16,14.977713584899902,2,14,13,0,64,5
17,13.310650110244751,2,15,14,0,64,5
