Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,12.693883180618286,2,2,1,0,64,5
1,13.009053945541382,2,3,2,0,64,5
2,12.204432964324951,2,3,1,0,64,5
3,12.380794286727905,2,4,3,0,64,5
4,12.07968783378601,2,5,4,0,64,5
5,12.026948928833008,2,6,5,0,64,5
6,11.84254789352417,2,6,4,0,64,5
7,13.501060485839844,2,7,6,0,64,5
8,11.915656328201294,2,8,7,0,64,5
9,11.901111841201782,2,9,8,0,64,5
10,11.956797122955322,1,10,9,0,64,5
11,12.508678674697876,2,11,10,0,64,5
12,12.249831676483154,2,11,10,0,64,5
13,11.976178646087646,2,12,11,0,64,5
14,13.539056301116943,3,13,12,0,64,5
15,12.1659255027771,3,13,12,0,64,5
16,12.035967350006104,3,13,11,0,64,5
17,11.860049486160278,3,13,12,0,64,5
18,12.422248363494873,3,14,13,0,64,5
19,11.981901407241821,3,14,13,0,64,5
20,13.554445266723633,3,15,14,0,64,5
21,11.99306344985962,2,16,15,0,64,5
22,12.349027156829834,2,17,16,0,64,5
23,12.409714460372925,3,18,17,0,64,5
24,11.822274208068848,3,19,18,0,64,5
25,12.132854223251343,3,19,17,0,64,5
