Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,13.01179814338684,1,2,1,0,64,5
1,12.968665838241577,1,3,2,0,64,5
2,12.438640117645264,1,4,3,0,64,5
3,13.26300048828125,1,5,4,0,64,5
4,12.66728138923645,1,6,5,0,64,5
5,14.0063955783844,1,7,6,0,64,5
6,13.813206911087036,1,8,7,0,64,5
7,15.356517314910889,1,9,8,0,64,5
8,13.56853723526001,1,10,9,0,64,5
9,12.652116298675537,1,11,10,0,64,5
10,12.920668601989746,1,12,11,0,64,5
11,12.724639892578125,1,13,12,0,64,5
12,12.27479600906372,1,14,13,0,64,5
13,13.800729751586914,1,15,14,0,64,5
14,13.379111528396606,1,16,15,0,64,5
15,13.719020128250122,2,17,16,0,64,5
16,16.125359296798706,2,18,17,0,64,5
