Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,7.921728610992432,1,2,1,0,0,3
1,7.213690996170044,1,3,2,0,0,3
2,7.54117226600647,1,4,3,0,0,3
3,7.844555854797363,1,5,4,0,0,3
4,8.225883722305298,1,6,5,0,0,3
