Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,13.578126430511475,1,2,1,0,64,5
1,14.016738891601562,1,3,2,0,64,5
2,13.143415689468384,1,4,3,0,64,5
3,12.234421491622925,1,5,4,0,64,5
4,12.440361022949219,1,6,5,0,64,5
5,11.765926599502563,2,7,6,0,64,5
6,11.98428988456726,3,7,6,0,64,5
7,14.350953817367554,3,8,7,0,64,5
