Block Number,Block Hash,Validation,Chip ID,Problem ID,Strongest Block Hash,Chain Length
1,7424253c080b030969327539617a397990fee28d95da405d23c9af8da12f7842,pass,Advantage_system4.1,4bba48f3-4f73-4da0-b6ef-b25793078380,a9026b7fc4fc3cef6039cff926eefb33a0bbe9078902b46a2985949f91e4e332,1
2,0a0c462bc34d069a0ea755a9b79db215da8dd1595cd7f411861d9d5913eacca3,pass,Advantage_system4.1,4068dc07-1519-4cdf-9243-9397abbd6a55,7424253c080b030969327539617a397990fee28d95da405d23c9af8da12f7842,2
3,4264d70fe0279381a931044729b4ee7525a58c7cdcc870c99ad2f4ae46df25d8,pass,Advantage_system4.1,36911710-b2e6-4b44-8a9c-94c41d7ce72c,0a0c462bc34d069a0ea755a9b79db215da8dd1595cd7f411861d9d5913eacca3,3
4,b95e850c49466f8fd443d37fdf5c9b442c96d2cd140ea3038bc6ed364f6da2be,pass,Advantage_system4.1,0e829430-5b28-490d-99e2-899ed056f54b,0a0c462bc34d069a0ea755a9b79db215da8dd1595cd7f411861d9d5913eacca3,3
5,c4f2fb2392ef6b206372140876bd669f85231bcab7dbec3bbcb6653ad564b442,miner,Advantage_system4.1,dc0012da-9399-45f4-9a6e-71febff0b014,b95e850c49466f8fd443d37fdf5c9b442c96d2cd140ea3038bc6ed364f6da2be,4
6,945fea6453e5456e61a8a9e2a3cd17d6df443f3260c6ae533dc3493d72df819a,pass,Advantage_system4.1,759f6b64-75c3-4520-b1d9-9737867648e3,c4f2fb2392ef6b206372140876bd669f85231bcab7dbec3bbcb6653ad564b442,5
7,f9a9ff5a543a4c839dfc5a2ecdb1a16ed30befb12db7daed5798eb324afa4238,pass,Advantage_system4.1,2dfcce83-4077-4602-ba0b-1d3f8b89f10b,c4f2fb2392ef6b206372140876bd669f85231bcab7dbec3bbcb6653ad564b442,5
8,99f9b5d40f2912023b1480d6cb2d94d69be44382092f0a5ebd295a69b9879b75,pass,Advantage_system4.1,491f5d3e-5cff-4a36-9e9b-6a39b73be6c0,c4f2fb2392ef6b206372140876bd669f85231bcab7dbec3bbcb6653ad564b442,5
9,9ce425dbd9011406c8eb2b557197e8464ef00a39f01c8bf26a6194dbc45ec57f,pass,Advantage_system4.1,4b63385d-56d1-4bfc-afc0-40871c1cd6bf,99f9b5d40f2912023b1480d6cb2d94d69be44382092f0a5ebd295a69b9879b75,6
10,6ceaef53de1e2486cf93f9b5df454d36791de25f5ba824ae6a7488dc0871cd25,pass,Advantage_system4.1,1094e106-ff3c-4b51-89a6-d09adf352027,9ce425dbd9011406c8eb2b557197e8464ef00a39f01c8bf26a6194dbc45ec57f,7
11,983d74a2915d7beeaf1824c0b54d73cf9cb67d3969f6303514b91d78a680f023,miner,Advantage_system4.1,049506b3-4356-4ceb-b5c8-e4c26179a327,6ceaef53de1e2486cf93f9b5df454d36791de25f5ba824ae6a7488dc0871cd25,8
12,7b341d3051e22cd710ef16ccb3ae1eb3dc1ed729bb582abea07645e4a780ed28,pass,Advantage_system4.1,8a6b0bbe-33a0-4c15-9081-47d1c7e1d9db,983d74a2915d7beeaf1824c0b54d73cf9cb67d3969f6303514b91d78a680f023,9
