,Mining_Time,Validation_Time,Iter_Total_Time,Iter_Total_Time_Per_Miner,Trial_Total_Time,Trial_Total_Time_Per_Miner
0,2.5101888179779053,13.343584537506104,15.853773355484009,2.642295559247335,15.853773355484009,2.642295559247335
1,2.8656373023986816,12.838080883026123,15.703718185424805,2.6172863642374673,31.557491540908813,5.259581923484802
2,2.4963154792785645,12.589494228363037,15.085809707641602,2.514301617940267,46.643301248550415,7.773883541425069
3,2.4874141216278076,12.846511125564575,15.333925247192383,2.555654207865397,61.9772264957428,10.329537749290466
4,2.544031858444214,14.532194137573242,17.076225996017456,2.846037666002909,79.05345249176025,13.175575415293375
5,2.4653267860412598,12.695843935012817,15.161170721054077,2.526861786842346,94.21462321281433,15.702437202135721
6,2.533926010131836,12.376340627670288,14.910266637802124,2.4850444396336875,109.12488985061646,18.18748164176941
7,2.547935724258423,12.62489914894104,15.172834873199463,2.5288058121999106,124.29772472381592,20.71628745396932
8,2.5465588569641113,12.282640933990479,14.82919979095459,2.4715332984924316,139.1269245147705,23.18782075246175
9,2.413360357284546,12.642159461975098,15.055519819259644,2.5092533032099404,154.18244433403015,25.697074055671692
