Iteration,Time,# of Active Paths,Longest Path Length,Miner Path Length,Leading Zeros,Additional Validation,Number of Miners
0,14.70411467552185,1,2,1,0,64,5
1,14.70696759223938,1,3,2,0,64,5
2,14.830117225646973,1,4,3,0,64,5
3,13.714590787887573,2,5,4,0,64,5
4,13.854508638381958,2,5,4,0,64,5
5,13.981044292449951,1,6,5,0,64,5
6,13.448086023330688,1,7,6,0,64,5
7,15.291191816329956,1,8,7,0,64,5
8,13.357243299484253,1,9,8,0,64,5
9,13.464652061462402,1,10,9,0,64,5
10,13.578261613845825,1,11,10,0,64,5
11,13.615122318267822,2,12,11,0,64,5
